CIK,company_name,date_filed,filename,id
1015780,E TRADE FINANCIAL Corp,2013-03-15,edgar/data/1015780/0001193125-13-109981.txt,5778
1024657,WEST CORP,2013-03-22,edgar/data/1024657/0001193125-13-120282.txt,9137
1118417,"MODEL N, INC.",2013-03-20,edgar/data/1118417/0001193125-13-117282.txt,42373
1093691,PLUG POWER INC,2013-02-15,edgar/data/1093691/0001193125-13-062622.txt,34351
1168197,LIPOSCIENCE INC,2013-01-25,edgar/data/1168197/0001193125-13-023659.txt,54440
1158863,"WAGEWORKS, INC.",2013-03-13,edgar/data/1158863/0001193125-13-104152.txt,51173
1283140,HOLLY ENERGY PARTNERS LP,2013-03-20,edgar/data/1283140/0001193125-13-117368.txt,92361
1177609,"FIVE BELOW, INC",2013-01-31,edgar/data/1177609/0001193125-13-032829.txt,57714
1177648,ENANTA PHARMACEUTICALS INC,2013-03-21,edgar/data/1177648/0001193125-13-119725.txt,57763
1180079,SILVER SPRING NETWORKS INC,2013-03-13,edgar/data/1180079/0001193125-13-104964.txt,58654
1264587,STEMLINE THERAPEUTICS INC,2013-01-29,edgar/data/1264587/0001047469-13-000518.txt,86963
1328598,CURRENCYSHARES EURO TRUST,2013-02-19,edgar/data/1328598/0001193125-13-063923.txt,107782
1293310,KALOBIOS PHARMACEUTICALS INC,2013-02-01,edgar/data/1293310/0001193125-13-034771.txt,96025
1315657,XOOM Corp,2013-02-15,edgar/data/1315657/0001193125-13-061425.txt,102789
1328581,BOISE CASCADE Co,2013-02-07,edgar/data/1328581/0001047469-13-000712.txt,107751
1353611,CURRENCYSHARES BRITISH POUND STERLING TRUST,2013-02-08,edgar/data/1353611/0001193125-13-045238.txt,115963
1349454,"TRULIA, INC.",2013-03-15,edgar/data/1349454/0001193125-13-108475.txt,114519
1353613,CURRENCYSHARES JAPANESE YEN TRUST,2013-02-19,edgar/data/1353613/0001193125-13-063907.txt,115979
